disassembled_line_length_80,disassembled_line_length_38,disassembled_line_length_73,disassembled_line_length_37,disassembled_line_length_69,disassembled_line_length_81,disassembled_line_length_72,disassembled_line_length_63,disassembled_line_length_64,disassembled_line_length_59
80.0,3773.0,660.0,129.0,2106.0,73.0,254.0,5457.0,1927.0,10121.0
4.0,236.0,204.0,10.0,348.0,0.0,110.0,2786.0,746.0,2904.0
4.0,236.0,204.0,10.0,348.0,0.0,110.0,2786.0,746.0,2904.0
43.0,2072.0,357.0,57.0,1062.0,34.0,143.0,2922.0,1104.0,5216.0
4.0,236.0,204.0,10.0,348.0,0.0,110.0,2785.0,746.0,2904.0
7.0,81.0,58.0,13.0,201.0,18.0,34.0,975.0,438.0,1863.0
43.0,2070.0,351.0,57.0,1057.0,34.0,137.0,2814.0,892.0,5040.0
77.0,3568.0,606.0,134.0,2002.0,68.0,258.0,5836.0,1719.0,9621.0
64.0,3003.0,535.0,94.0,1644.0,58.0,193.0,4178.0,1358.0,7726.0
4.0,236.0,204.0,10.0,348.0,0.0,110.0,2785.0,746.0,2904.0
4.0,236.0,204.0,10.0,348.0,0.0,110.0,2785.0,746.0,2904.0
3.0,428.0,59.0,16.0,173.0,4.0,40.0,816.0,389.0,1325.0
0.0,2.0,8.0,0.0,1.0,0.0,8.0,19.0,13.0,108.0
0.0,1.0,8.0,0.0,1.0,0.0,8.0,19.0,13.0,108.0
0.0,1.0,8.0,0.0,2.0,0.0,8.0,19.0,14.0,106.0
0.0,1.0,8.0,0.0,1.0,0.0,8.0,19.0,14.0,106.0
1.0,96.0,23.0,1.0,61.0,1.0,18.0,275.0,277.0,416.0
4.0,236.0,204.0,10.0,348.0,0.0,110.0,2785.0,746.0,2904.0
0.0,1.0,8.0,0.0,1.0,0.0,8.0,19.0,14.0,106.0
40.0,1715.0,305.0,49.0,929.0,31.0,126.0,2427.0,786.0,4398.0
69.0,3265.0,528.0,125.0,1706.0,53.0,210.0,4578.0,1470.0,8102.0
4.0,237.0,204.0,10.0,348.0,0.0,110.0,2785.0,746.0,2904.0
0.0,1.0,8.0,0.0,1.0,0.0,8.0,19.0,13.0,108.0
46.0,2207.0,387.0,67.0,1199.0,35.0,159.0,3200.0,1235.0,5938.0
0.0,1.0,8.0,0.0,1.0,0.0,8.0,19.0,13.0,108.0
0.0,1.0,8.0,0.0,1.0,0.0,8.0,19.0,14.0,106.0
0.0,1.0,8.0,0.0,1.0,0.0,8.0,19.0,13.0,108.0
68.0,3279.0,569.0,110.0,1796.0,56.0,213.0,4782.0,1799.0,8721.0
0.0,1.0,8.0,0.0,1.0,0.0,8.0,19.0,13.0,108.0
0.0,1.0,8.0,0.0,1.0,0.0,8.0,19.0,13.0,108.0
0.0,1.0,8.0,0.0,2.0,0.0,8.0,19.0,13.0,108.0
47.0,2067.0,378.0,68.0,1107.0,35.0,143.0,2888.0,933.0,5234.0
0.0,1.0,8.0,0.0,1.0,0.0,8.0,19.0,13.0,108.0
4.0,236.0,204.0,10.0,348.0,0.0,110.0,2785.0,746.0,2904.0
4.0,236.0,204.0,10.0,348.0,0.0,110.0,2785.0,746.0,2904.0
0.0,1.0,8.0,0.0,1.0,0.0,8.0,19.0,13.0,108.0
41.0,2004.0,332.0,59.0,1041.0,33.0,134.0,3010.0,1043.0,5081.0
32.0,1446.0,253.0,44.0,796.0,26.0,112.0,2125.0,872.0,3836.0
0.0,1.0,8.0,0.0,1.0,0.0,8.0,19.0,13.0,108.0
4.0,236.0,204.0,10.0,348.0,0.0,110.0,2785.0,746.0,2904.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
4.0,236.0,204.0,10.0,348.0,0.0,110.0,2785.0,746.0,2904.0
7.0,81.0,58.0,13.0,201.0,18.0,34.0,975.0,438.0,1863.0
67.0,3164.0,546.0,105.0,1764.0,50.0,213.0,4411.0,1466.0,8299.0
4.0,236.0,204.0,10.0,348.0,0.0,110.0,2785.0,746.0,2904.0
29.0,1524.0,261.0,53.0,843.0,25.0,100.0,2407.0,1034.0,4109.0
4.0,236.0,204.0,10.0,348.0,0.0,110.0,2786.0,746.0,2904.0
0.0,1.0,8.0,0.0,1.0,0.0,8.0,19.0,14.0,106.0
4.0,236.0,204.0,10.0,348.0,0.0,110.0,2785.0,746.0,2904.0
7.0,81.0,58.0,13.0,201.0,18.0,34.0,975.0,438.0,1864.0
52.0,2472.0,420.0,85.0,1350.0,42.0,161.0,3453.0,1126.0,6303.0
4.0,236.0,204.0,10.0,348.0,0.0,110.0,2785.0,746.0,2904.0
7.0,81.0,58.0,13.0,201.0,18.0,34.0,975.0,439.0,1863.0
4.0,236.0,204.0,10.0,348.0,0.0,110.0,2785.0,747.0,2904.0
0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0
67.0,3034.0,526.0,106.0,1688.0,52.0,216.0,4381.0,1638.0,7975.0
35.0,1657.0,299.0,49.0,893.0,29.0,127.0,2406.0,962.0,4359.0
41.0,2006.0,338.0,59.0,1046.0,33.0,140.0,3118.0,1255.0,5257.0
63.0,3263.0,581.0,107.0,1823.0,65.0,193.0,4731.0,1765.0,8792.0
4.0,236.0,204.0,10.0,348.0,0.0,110.0,2785.0,746.0,2905.0
7.0,81.0,61.0,12.0,218.0,18.0,37.0,1182.0,497.0,1483.0
74.0,3333.0,585.0,114.0,1859.0,55.0,231.0,4789.0,1779.0,8910.0
76.0,3218.0,536.0,111.0,1887.0,53.0,224.0,4905.0,1815.0,9229.0
7.0,81.0,58.0,13.0,201.0,18.0,34.0,975.0,438.0,1863.0
59.0,3310.0,478.0,116.0,1693.0,54.0,225.0,4696.0,1789.0,8485.0
7.0,81.0,58.0,13.0,201.0,18.0,34.0,975.0,438.0,1863.0
20.0,1072.0,183.0,26.0,590.0,16.0,78.0,1819.0,522.0,3274.0
4.0,236.0,204.0,10.0,348.0,0.0,110.0,2785.0,746.0,2904.0
4.0,236.0,204.0,10.0,348.0,0.0,110.0,2785.0,746.0,2904.0
4.0,236.0,204.0,10.0,348.0,0.0,110.0,2785.0,746.0,2904.0
77.0,3537.0,634.0,122.0,1929.0,64.0,234.0,5037.0,1655.0,9311.0
31.0,1565.0,246.0,42.0,853.0,26.0,112.0,2221.0,874.0,3986.0
56.0,2665.0,485.0,89.0,1449.0,42.0,186.0,3824.0,1436.0,7093.0
7.0,81.0,58.0,13.0,201.0,18.0,34.0,975.0,439.0,1863.0
45.0,2268.0,377.0,60.0,1108.0,35.0,163.0,3457.0,1491.0,7174.0
56.0,2663.0,479.0,89.0,1444.0,42.0,180.0,3716.0,1224.0,6917.0
67.0,3103.0,520.0,125.0,1689.0,52.0,210.0,4441.0,1448.0,7914.0
4.0,236.0,204.0,10.0,348.0,0.0,110.0,2785.0,746.0,2904.0
4.0,236.0,204.0,10.0,348.0,0.0,110.0,2785.0,746.0,2904.0
7.0,82.0,58.0,13.0,204.0,18.0,34.0,974.0,438.0,1838.0
0.0,1.0,8.0,0.0,1.0,0.0,8.0,19.0,13.0,109.0
0.0,1.0,8.0,0.0,1.0,0.0,8.0,19.0,13.0,108.0
32.0,1671.0,294.0,48.0,910.0,28.0,129.0,2410.0,955.0,4424.0
69.0,3266.0,533.0,125.0,1717.0,53.0,220.0,4664.0,1694.0,8302.0
66.0,3081.0,635.0,93.0,1925.0,51.0,262.0,5292.0,1468.0,8429.0
77.0,3516.0,611.0,116.0,1954.0,57.0,239.0,5039.0,1840.0,9366.0
64.0,2831.0,492.0,96.0,1576.0,50.0,201.0,4057.0,1522.0,7437.0
49.0,2288.0,404.0,78.0,1265.0,38.0,157.0,3350.0,1272.0,6075.0
0.0,1.0,8.0,0.0,2.0,0.0,8.0,19.0,13.0,108.0
73.0,3365.0,583.0,110.0,1855.0,55.0,228.0,4836.0,1741.0,8970.0
67.0,3006.0,520.0,103.0,1678.0,52.0,210.0,4214.0,1414.0,7759.0
0.0,1.0,8.0,0.0,1.0,0.0,8.0,19.0,14.0,106.0
40.0,1717.0,311.0,49.0,934.0,31.0,132.0,2535.0,998.0,4574.0
79.0,3526.0,605.0,119.0,2004.0,69.0,248.0,5032.0,1856.0,9353.0
4.0,236.0,204.0,10.0,348.0,0.0,110.0,2785.0,746.0,2904.0
64.0,3005.0,541.0,94.0,1649.0,58.0,199.0,4286.0,1570.0,7902.0
88.0,4192.0,761.0,137.0,2310.0,86.0,274.0,5910.0,2104.0,10935.0
4.0,236.0,204.0,10.0,348.0,0.0,110.0,2785.0,746.0,2904.0
4.0,236.0,204.0,10.0,348.0,0.0,110.0,2785.0,746.0,2904.0
38.0,2023.0,320.0,67.0,1113.0,34.0,123.0,2772.0,946.0,5116.0
32.0,1669.0,288.0,48.0,905.0,28.0,123.0,2302.0,743.0,4248.0
65.0,3366.0,575.0,106.0,1842.0,63.0,195.0,4604.0,1503.0,8665.0
4.0,236.0,204.0,10.0,348.0,0.0,110.0,2785.0,746.0,2904.0
3.0,221.0,35.0,4.0,141.0,4.0,21.0,336.0,127.0,609.0
0.0,82.0,27.0,5.0,69.0,0.0,12.0,482.0,730.0,9505.0
7.0,81.0,58.0,13.0,201.0,18.0,34.0,975.0,438.0,1863.0
4.0,236.0,204.0,10.0,348.0,0.0,110.0,2785.0,746.0,2904.0
0.0,1.0,8.0,0.0,1.0,0.0,8.0,19.0,14.0,106.0
4.0,236.0,204.0,10.0,348.0,0.0,110.0,2785.0,746.0,2904.0
3.0,223.0,41.0,4.0,146.0,4.0,27.0,444.0,339.0,785.0
4.0,236.0,204.0,10.0,348.0,0.0,110.0,2785.0,746.0,2904.0
0.0,178.0,19.0,10.0,29.0,0.0,17.0,447.0,252.0,661.0
90.0,4103.0,730.0,133.0,2286.0,72.0,269.0,5715.0,1857.0,10683.0
7.0,82.0,58.0,13.0,204.0,18.0,34.0,974.0,438.0,1837.0
4.0,236.0,204.0,10.0,348.0,0.0,110.0,2785.0,746.0,2904.0
42.0,1947.0,336.0,57.0,1086.0,33.0,152.0,2805.0,1151.0,5126.0
4.0,236.0,204.0,10.0,348.0,0.0,110.0,2785.0,746.0,2904.0
69.0,3215.0,569.0,111.0,1769.0,53.0,215.0,4401.0,1453.0,8278.0
67.0,3032.0,520.0,106.0,1683.0,52.0,210.0,4273.0,1426.0,7799.0
7.0,75.0,59.0,15.0,205.0,18.0,36.0,894.0,379.0,1773.0
4.0,236.0,204.0,10.0,348.0,0.0,110.0,2785.0,746.0,2904.0
12.0,861.0,194.0,46.0,449.0,8.0,103.0,1620.0,1322.0,7191.0
0.0,1.0,8.0,0.0,1.0,0.0,8.0,19.0,14.0,106.0
7.0,82.0,58.0,13.0,204.0,18.0,34.0,974.0,439.0,1837.0
4.0,236.0,204.0,10.0,348.0,0.0,110.0,2785.0,746.0,2904.0
77.0,3391.0,581.0,110.0,1892.0,53.0,228.0,4756.0,1580.0,8894.0
0.0,1.0,8.0,0.0,1.0,0.0,8.0,19.0,14.0,106.0
4.0,236.0,204.0,10.0,348.0,0.0,110.0,2785.0,746.0,2904.0
1.0,663.0,52.0,2.0,112.0,0.0,48.0,453.0,295.0,2086.0
72.0,3378.0,554.0,104.0,1833.0,54.0,214.0,4652.0,1531.0,8654.0
1.0,40.0,6.0,1.0,23.0,0.0,6.0,41.0,22.0,96.0
71.0,3160.0,526.0,125.0,1718.0,52.0,220.0,4603.0,1947.0,8710.0
1.0,38.0,13.0,1.0,40.0,1.0,7.0,126.0,77.0,214.0
90.0,4227.0,751.0,138.0,2372.0,73.0,281.0,5899.0,1921.0,11105.0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,3.0
31.0,1563.0,240.0,42.0,848.0,26.0,106.0,2113.0,662.0,3810.0
0.0,10.0,9.0,2.0,8.0,0.0,8.0,92.0,136.0,143.0
1.0,55.0,28.0,4.0,81.0,2.0,10.0,345.0,243.0,307.0
1.0,46.0,15.0,0.0,28.0,1.0,5.0,56.0,33.0,112.0
7.0,82.0,58.0,13.0,204.0,18.0,34.0,975.0,438.0,1837.0
62.0,2726.0,473.0,95.0,1511.0,48.0,193.0,3951.0,1464.0,7243.0
1.0,55.0,18.0,7.0,21.0,0.0,12.0,249.0,210.0,318.0
7.0,81.0,58.0,13.0,201.0,18.0,34.0,976.0,438.0,1864.0
7.0,77.0,59.0,15.0,203.0,18.0,36.0,900.0,379.0,1789.0
1.0,46.0,8.0,1.0,29.0,0.0,6.0,51.0,30.0,136.0
0.0,372.0,7.0,0.0,6.0,0.0,5.0,26.0,35.0,150.0
0.0,28.0,13.0,0.0,27.0,1.0,12.0,428.0,228.0,636.0
9.0,191.0,39.0,5.0,121.0,4.0,14.0,304.0,128.0,815.0
7.0,77.0,59.0,15.0,203.0,18.0,36.0,899.0,379.0,1788.0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,3.0
2.0,51.0,11.0,3.0,27.0,2.0,10.0,88.0,64.0,196.0
2.0,83.0,23.0,5.0,45.0,0.0,17.0,428.0,181.0,648.0
1.0,60.0,14.0,1.0,30.0,1.0,14.0,552.0,135.0,197.0
67.0,3166.0,552.0,105.0,1769.0,50.0,219.0,4519.0,1678.0,8475.0
4.0,236.0,204.0,10.0,348.0,0.0,110.0,2785.0,746.0,2904.0
0.0,0.0,3.0,0.0,4.0,0.0,5.0,3.0,14.0,10.0
1.0,75.0,13.0,2.0,39.0,1.0,13.0,203.0,74.0,230.0
2.0,37.0,53.0,2.0,50.0,6.0,17.0,643.0,291.0,1384.0
1.0,318.0,54.0,0.0,105.0,0.0,40.0,264.0,160.0,260.0
2.0,74.0,12.0,0.0,34.0,1.0,13.0,84.0,73.0,187.0
35.0,1661.0,300.0,49.0,898.0,29.0,128.0,2422.0,957.0,4388.0
4.0,236.0,204.0,10.0,348.0,0.0,110.0,2785.0,746.0,2904.0
59.0,3308.0,472.0,116.0,1688.0,54.0,219.0,4587.0,1577.0,8306.0
0.0,42.0,11.0,4.0,26.0,0.0,9.0,55.0,23.0,122.0
0.0,1.0,3.0,0.0,1.0,0.0,3.0,4.0,5.0,12.0
3.0,672.0,56.0,4.0,83.0,0.0,49.0,427.0,258.0,1439.0
0.0,21.0,2.0,0.0,9.0,0.0,5.0,19.0,16.0,52.0
3.0,56.0,13.0,0.0,33.0,0.0,9.0,118.0,71.0,224.0
4.0,236.0,204.0,10.0,348.0,0.0,110.0,2786.0,746.0,2904.0
7.0,66.0,58.0,9.0,201.0,18.0,34.0,943.0,441.0,1819.0
72.0,3380.0,560.0,104.0,1838.0,54.0,220.0,4760.0,1743.0,8830.0
11.0,659.0,130.0,21.0,408.0,2.0,66.0,1375.0,781.0,3246.0
0.0,4.0,7.0,0.0,3.0,0.0,3.0,19.0,28.0,42.0
69.0,3083.0,520.0,107.0,1697.0,52.0,212.0,4374.0,1607.0,8233.0
52.0,2474.0,426.0,85.0,1355.0,42.0,167.0,3561.0,1338.0,6479.0
1.0,64.0,7.0,0.0,7.0,0.0,5.0,68.0,45.0,153.0
0.0,28.0,9.0,0.0,14.0,0.0,10.0,55.0,30.0,97.0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,3.0
0.0,48.0,9.0,3.0,23.0,0.0,12.0,78.0,62.0,150.0
20.0,1074.0,189.0,26.0,595.0,16.0,84.0,1927.0,734.0,3450.0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,4.0
90.0,4235.0,758.0,139.0,2377.0,73.0,287.0,6010.0,2133.0,11289.0
0.0,10.0,9.0,2.0,8.0,0.0,8.0,92.0,136.0,143.0
3.0,893.0,73.0,8.0,220.0,7.0,56.0,650.0,325.0,1854.0
0.0,8.0,6.0,0.0,1.0,0.0,2.0,16.0,13.0,35.0
2.0,239.0,26.0,9.0,100.0,4.0,14.0,562.0,157.0,963.0
0.0,9.0,6.0,0.0,1.0,0.0,2.0,8.0,9.0,87.0
0.0,26.0,6.0,1.0,15.0,0.0,6.0,42.0,48.0,121.0
3.0,259.0,56.0,14.0,156.0,3.0,15.0,582.0,147.0,819.0
3.0,126.0,20.0,3.0,68.0,0.0,15.0,361.0,131.0,563.0
0.0,7.0,6.0,0.0,5.0,0.0,2.0,12.0,10.0,30.0
7.0,82.0,58.0,13.0,204.0,18.0,34.0,975.0,439.0,1837.0
56.0,2604.0,429.0,95.0,1357.0,42.0,176.0,3646.0,1168.0,6473.0
2.0,186.0,24.0,9.0,96.0,3.0,13.0,409.0,149.0,811.0
0.0,4.0,6.0,0.0,1.0,0.0,2.0,8.0,9.0,26.0
0.0,4.0,6.0,0.0,1.0,0.0,2.0,8.0,9.0,25.0
0.0,6.0,6.0,0.0,1.0,0.0,2.0,8.0,9.0,26.0
0.0,108.0,27.0,9.0,70.0,2.0,13.0,804.0,917.0,1190.0
0.0,5.0,6.0,0.0,2.0,1.0,2.0,10.0,9.0,30.0
4.0,208.0,30.0,8.0,113.0,1.0,13.0,409.0,132.0,801.0
0.0,7.0,6.0,0.0,1.0,0.0,2.0,13.0,15.0,34.0
0.0,7.0,6.0,0.0,1.0,0.0,2.0,12.0,12.0,36.0
90.0,4111.0,737.0,134.0,2291.0,72.0,275.0,5826.0,2069.0,10867.0
0.0,5.0,6.0,0.0,1.0,0.0,2.0,9.0,9.0,19.0
0.0,6.0,6.0,0.0,2.0,0.0,2.0,8.0,10.0,27.0
0.0,4.0,6.0,0.0,1.0,0.0,2.0,8.0,9.0,25.0
0.0,6.0,6.0,0.0,2.0,0.0,2.0,9.0,10.0,30.0
0.0,8.0,8.0,0.0,4.0,0.0,6.0,81.0,66.0,73.0
6.0,313.0,63.0,9.0,154.0,5.0,19.0,615.0,216.0,1147.0
5.0,306.0,42.0,10.0,160.0,2.0,22.0,557.0,205.0,983.0
9.0,896.0,111.0,8.0,417.0,7.0,54.0,859.0,444.0,2017.0
3.0,642.0,68.0,9.0,138.0,7.0,103.0,366.0,375.0,2016.0
0.0,4.0,6.0,0.0,1.0,0.0,2.0,8.0,9.0,25.0
0.0,4.0,6.0,0.0,1.0,0.0,2.0,8.0,9.0,35.0
0.0,5.0,0.0,0.0,10.0,0.0,1.0,413.0,9.0,657.0
0.0,54.0,1.0,0.0,16.0,0.0,2.0,34.0,15.0,186.0
1.0,71.0,10.0,1.0,33.0,0.0,6.0,96.0,27.0,251.0
3.0,128.0,14.0,5.0,59.0,1.0,8.0,208.0,69.0,470.0
1.0,662.0,40.0,2.0,34.0,0.0,42.0,319.0,213.0,1219.0
0.0,32.0,13.0,1.0,21.0,3.0,2.0,56.0,36.0,120.0
0.0,46.0,9.0,3.0,39.0,0.0,7.0,134.0,74.0,243.0
1.0,69.0,2.0,0.0,10.0,1.0,3.0,48.0,15.0,197.0
0.0,11.0,6.0,0.0,1.0,0.0,2.0,18.0,10.0,30.0
6.0,288.0,57.0,8.0,147.0,3.0,19.0,577.0,198.0,1081.0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,3.0
1.0,61.0,19.0,7.0,25.0,1.0,12.0,246.0,209.0,314.0
0.0,5.0,6.0,0.0,2.0,0.0,2.0,12.0,13.0,30.0
0.0,4.0,6.0,0.0,1.0,0.0,2.0,8.0,9.0,47.0
0.0,72.0,2.0,1.0,11.0,1.0,3.0,44.0,18.0,204.0
0.0,71.0,1.0,0.0,11.0,1.0,4.0,44.0,18.0,204.0
0.0,10.0,6.0,0.0,4.0,0.0,2.0,14.0,16.0,37.0
0.0,16.0,0.0,0.0,4.0,0.0,3.0,47.0,16.0,144.0
0.0,4.0,6.0,0.0,1.0,0.0,2.0,8.0,9.0,43.0
0.0,73.0,1.0,0.0,11.0,2.0,3.0,45.0,20.0,210.0
2.0,257.0,28.0,5.0,101.0,1.0,9.0,423.0,171.0,848.0
0.0,3.0,1.0,0.0,5.0,0.0,1.0,11.0,5.0,65.0
0.0,5.0,6.0,0.0,2.0,0.0,2.0,14.0,15.0,30.0
3.0,131.0,30.0,9.0,110.0,2.0,8.0,353.0,92.0,753.0
3.0,259.0,68.0,22.0,123.0,2.0,33.0,948.0,393.0,1505.0
3.0,642.0,68.0,9.0,138.0,7.0,103.0,366.0,375.0,2016.0
1.0,42.0,6.0,1.0,28.0,1.0,4.0,48.0,21.0,104.0
0.0,21.0,1.0,0.0,8.0,0.0,3.0,43.0,7.0,132.0
0.0,10.0,6.0,0.0,1.0,0.0,2.0,14.0,10.0,34.0
1.0,62.0,20.0,7.0,24.0,0.0,13.0,247.0,207.0,303.0
0.0,20.0,3.0,0.0,8.0,0.0,2.0,52.0,9.0,135.0
1.0,3.0,3.0,0.0,3.0,0.0,3.0,22.0,11.0,44.0
3.0,126.0,30.0,6.0,94.0,3.0,29.0,435.0,405.0,721.0
0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,3.0
10.0,292.0,52.0,9.0,172.0,10.0,22.0,653.0,214.0,1171.0
0.0,47.0,12.0,1.0,27.0,0.0,4.0,74.0,23.0,108.0
2.0,257.0,28.0,5.0,101.0,1.0,9.0,423.0,171.0,848.0
4.0,236.0,204.0,10.0,348.0,0.0,110.0,2785.0,746.0,2904.0
0.0,9.0,6.0,0.0,2.0,0.0,2.0,13.0,11.0,49.0
2.0,257.0,28.0,5.0,101.0,1.0,9.0,423.0,171.0,848.0
66.0,3089.0,642.0,94.0,1930.0,51.0,268.0,5403.0,1680.0,8613.0
8.0,420.0,65.0,13.0,160.0,5.0,41.0,1057.0,1055.0,1651.0
7.0,82.0,58.0,13.0,204.0,18.0,34.0,977.0,439.0,1837.0
43.0,1739.0,139.0,58.0,1146.0,15.0,37.0,2518.0,742.0,3219.0
0.0,1.0,2.0,0.0,5.0,0.0,8.0,25.0,10.0,27.0
2.0,18.0,1.0,0.0,3.0,1.0,0.0,9.0,8.0,19.0
0.0,26.0,1.0,0.0,3.0,0.0,2.0,48.0,6.0,142.0
0.0,64.0,2.0,0.0,9.0,1.0,3.0,32.0,15.0,190.0
4.0,253.0,60.0,12.0,158.0,0.0,25.0,553.0,170.0,808.0
0.0,63.0,3.0,0.0,9.0,1.0,3.0,33.0,17.0,223.0
0.0,11.0,6.0,0.0,4.0,0.0,2.0,15.0,11.0,45.0
0.0,6.0,4.0,0.0,0.0,0.0,2.0,152.0,11.0,11.0
0.0,0.0,2.0,0.0,0.0,0.0,1.0,12.0,2.0,15.0
9.0,309.0,56.0,10.0,148.0,3.0,16.0,555.0,142.0,758.0
2.0,281.0,53.0,16.0,166.0,3.0,28.0,671.0,211.0,1129.0
0.0,5.0,6.0,0.0,1.0,0.0,2.0,11.0,9.0,29.0
0.0,53.0,2.0,0.0,16.0,0.0,2.0,36.0,15.0,185.0
0.0,10.0,9.0,2.0,8.0,0.0,8.0,92.0,137.0,145.0
0.0,61.0,4.0,0.0,11.0,1.0,3.0,46.0,16.0,192.0
2.0,48.0,12.0,1.0,25.0,2.0,5.0,56.0,29.0,129.0
0.0,20.0,1.0,1.0,4.0,0.0,3.0,44.0,9.0,149.0
0.0,5.0,6.0,0.0,5.0,0.0,2.0,11.0,11.0,30.0
2.0,16.0,0.0,0.0,2.0,0.0,0.0,7.0,7.0,19.0
0.0,4.0,6.0,0.0,1.0,0.0,2.0,11.0,10.0,31.0
6.0,322.0,55.0,5.0,176.0,7.0,23.0,637.0,203.0,1192.0
1.0,95.0,25.0,8.0,47.0,2.0,26.0,529.0,266.0,1940.0
0.0,10.0,0.0,0.0,5.0,0.0,2.0,84.0,13.0,60.0
1.0,3.0,3.0,0.0,3.0,0.0,3.0,22.0,11.0,44.0
41.0,1831.0,334.0,54.0,1068.0,25.0,138.0,2708.0,1108.0,5142.0
0.0,3.0,0.0,0.0,4.0,0.0,0.0,13.0,3.0,24.0
0.0,3.0,0.0,2.0,2.0,0.0,0.0,8.0,19.0,45.0
0.0,5.0,6.0,0.0,3.0,0.0,2.0,10.0,10.0,29.0
0.0,4.0,6.0,0.0,1.0,0.0,2.0,8.0,9.0,25.0
0.0,35.0,1.0,0.0,15.0,0.0,2.0,60.0,11.0,186.0
7.0,581.0,35.0,8.0,174.0,5.0,19.0,902.0,789.0,1779.0
47.0,2069.0,384.0,68.0,1112.0,35.0,149.0,2996.0,1145.0,5410.0
0.0,3.0,0.0,0.0,4.0,0.0,0.0,13.0,3.0,24.0
